iter	Passed	Remaining
1024	30468	28982
1025	30493	28947
1026	30525	28920
1027	30549	28885
1028	30573	28850
1029	30600	28817
1030	30651	28807
1031	30678	28776
1032	30730	28766
1033	30755	28733
1034	30785	28703
1035	30802	28661
1036	30851	28650
1037	30881	28620
1038	30908	28587
1039	30941	28560
1040	30959	28520
1041	31009	28509
1042	31030	28471
1043	31051	28434
1044	31083	28406
1045	31102	28366
1046	31145	28348
1047	31191	28334
1048	31212	28296
1049	31240	28265
1050	31270	28235
1051	31314	28218
1052	31349	28193
1053	31380	28164
1054	31410	28135
1055	31430	28096
1056	31451	28059
1057	31476	28025
1058	31552	28037
1059	31587	28011
1060	31618	27983
1061	31649	27954
1062	31680	27925
1063	31712	27897
1064	31758	27882
1065	31783	27847
1066	31808	27813
1067	31853	27797
1068	31888	27771
1069	31917	27741
1070	31936	27702
1071	31965	27671
1072	31994	27640
1073	32025	27612
1074	32091	27613
1075	32117	27580
1076	32136	27541
1077	32166	27511
1078	32196	27481
1079	32231	27456
1080	32254	27420
1081	32274	27382
1082	32352	27393
1083	32374	27357
