iter	Passed	Remaining
544	13047	34833
545	13070	34807
546	13094	34782
547	13117	34755
548	13139	34727
549	13161	34699
550	13183	34670
551	13208	34647
552	13231	34620
553	13255	34599
554	13280	34576
555	13303	34551
556	13330	34534
557	13354	34511
558	13378	34486
559	13402	34462
560	13426	34439
561	13449	34414
562	13473	34388
563	13498	34367
564	13522	34344
565	13544	34316
566	13567	34290
567	13590	34263
568	13613	34237
569	13636	34211
570	13658	34183
571	13680	34153
572	13704	34129
573	13726	34099
574	13747	34070
575	13770	34043
576	13793	34016
577	13817	33993
578	13841	33970
579	13864	33943
580	13891	33926
581	13915	33902
582	13937	33876
583	13960	33850
584	13984	33825
585	14008	33802
586	14033	33781
587	14056	33755
588	14078	33726
589	14101	33700
590	14125	33676
591	14149	33653
592	14173	33630
593	14197	33605
594	14219	33577
595	14244	33555
596	14270	33536
597	14296	33517
598	14324	33504
599	14351	33486
600	14375	33462
601	14401	33443
602	14427	33424
603	14453	33405
604	14477	33382
605	14503	33363
606	14529	33343
607	14554	33321
608	14580	33301
609	14603	33277
610	14627	33252
611	14652	33232
612	14682	33221
613	14708	33202
614	14735	33184
615	14762	33166
616	14788	33148
617	14814	33128
618	14839	33108
619	14864	33085
620	14892	33070
621	14919	33052
622	14946	33035
623	14973	33018
624	15000	33002
625	15027	32983
626	15052	32962
627	15077	32940
628	15103	32921
629	15129	32901
630	15155	32880
631	15181	32861
632	15208	32844
633	15233	32822
634	15261	32805
635	15285	32782
636	15311	32761
637	15337	32742
638	15360	32716
639	15385	32693
640	15409	32669
641	15433	32645
642	15457	32622
643	15481	32598
644	15506	32574
645	15529	32550
646	15551	32521
647	15573	32491
648	15595	32464
649	15618	32438
650	15640	32409
651	15663	32383
652	15685	32356
653	15708	32328
654	15732	32304
655	15755	32279
656	15778	32253
657	15801	32226
658	15823	32199
659	15844	32169
660	15870	32150
661	15895	32126
662	15919	32103
663	15942	32076
664	15966	32052
665	15989	32027
666	16011	31999
667	16035	31974
668	16057	31947
669	16080	31921
670	16103	31895
671	16127	31870
672	16150	31845
673	16175	31822
674	16209	31817
675	16232	31792
676	16255	31767
677	16278	31740
678	16302	31715
679	16326	31692
680	16349	31667
681	16372	31641
682	16397	31617
683	16419	31591
684	16442	31565
685	16466	31540
686	16490	31516
687	16513	31490
688	16535	31463
689	16559	31439
690	16581	31412
691	16605	31387
692	16629	31362
693	16652	31336
694	16677	31315
695	16699	31288
696	16722	31262
697	16746	31237
698	16769	31211
699	16791	31184
700	16815	31159
701	16838	31134
702	16861	31108
703	16888	31091
704	16912	31066
705	16936	31041
706	16959	31016
707	16982	30991
708	17005	30964
709	17028	30938
710	17051	30913
711	17074	30887
712	17096	30860
713	17119	30834
714	17143	30810
715	17167	30786
716	17189	30759
717	17211	30731
718	17236	30708
719	17259	30684
720	17284	30662
721	17308	30637
722	17332	30613
723	17354	30585
724	17376	30558
725	17398	30531
726	17422	30507
727	17447	30485
728	17470	30459
729	17494	30435
730	17517	30409
731	17540	30385
732	17563	30359
733	17586	30332
734	17609	30307
735	17632	30281
736	17655	30256
737	17680	30233
738	17702	30206
739	17724	30179
740	17749	30156
741	17773	30133
742	17797	30108
743	17821	30085
744	17844	30059
745	17869	30037
746	17891	30011
747	17914	29984
748	17936	29958
749	17958	29930
750	17980	29903
751	18002	29876
752	18023	29848
753	18048	29825
754	18071	29799
755	18094	29775
756	18117	29749
757	18141	29725
758	18162	29696
759	18184	29669
760	18208	29646
761	18233	29622
762	18257	29599
763	18283	29578
764	18306	29554
765	18329	29528
766	18352	29502
767	18376	29479
768	18399	29453
769	18424	29431
770	18448	29407
771	18471	29382
772	18493	29355
773	18517	29331
774	18541	29307
775	18564	29281
776	18588	29257
777	18610	29231
778	18632	29205
779	18658	29183
780	18681	29158
781	18704	29133
782	18727	29107
783	18749	29081
784	18774	29057
785	18798	29034
786	18821	29009
787	18845	28985
788	18869	28962
789	18894	28940
790	18916	28912
791	18939	28888
792	18963	28864
793	18987	28839
794	19009	28813
795	19032	28787
796	19055	28762
797	19077	28735
798	19100	28710
799	19123	28685
800	19148	28663
801	19171	28637
802	19195	28613
803	19219	28589
804	19242	28565
805	19267	28543
806	19291	28518
807	19315	28494
808	19338	28470
809	19360	28443
810	19384	28419
811	19407	28394
812	19431	28370
813	19454	28344
814	19475	28317
815	19499	28292
816	19527	28275
817	19551	28251
818	19578	28231
819	19604	28210
820	19630	28189
821	19653	28165
822	19680	28145
823	19716	28138
824	19740	28114
825	19764	28091
826	19789	28069
827	19812	28044
828	19837	28020
829	19863	28000
830	19885	27974
831	19909	27949
832	19934	27927
833	19959	27905
834	19985	27884
835	20011	27862
836	20035	27838
837	20059	27815
838	20084	27792
839	20110	27771
840	20136	27750
841	20161	27727
842	20187	27706
843	20213	27685
844	20237	27662
845	20265	27643
846	20292	27623
847	20319	27603
848	20344	27581
849	20370	27559
850	20395	27537
851	20420	27514
852	20445	27492
853	20469	27469
854	20496	27448
855	20522	27426
856	20548	27405
857	20570	27379
858	20594	27355
859	20617	27330
860	20640	27305
861	20663	27279
